Entry: 0, Memory (MB): 247.133, Time Elapsed (s): 0
Entry: 1000000, Memory (MB): 291.727, Time Elapsed (s): 8
Entry: 2000000, Memory (MB): 294.461, Time Elapsed (s): 17
Entry: 3000000, Memory (MB): 295.062, Time Elapsed (s): 26
Entry: 4000000, Memory (MB): 296.281, Time Elapsed (s): 34
Entry: 5000000, Memory (MB): 296.738, Time Elapsed (s): 43
Entry: 6000000, Memory (MB): 296.738, Time Elapsed (s): 52
Entry: 7000000, Memory (MB): 297.07, Time Elapsed (s): 60
Entry: 8000000, Memory (MB): 297.07, Time Elapsed (s): 69
Entry: 9000000, Memory (MB): 297.07, Time Elapsed (s): 78
Entry: 10000000, Memory (MB): 297.07, Time Elapsed (s): 86
Entry: 11000000, Memory (MB): 297.07, Time Elapsed (s): 95
Entry: 12000000, Memory (MB): 297.07, Time Elapsed (s): 104
Entry: 13000000, Memory (MB): 297.07, Time Elapsed (s): 112
Entry: 14000000, Memory (MB): 297.07, Time Elapsed (s): 121
Entry: 15000000, Memory (MB): 297.07, Time Elapsed (s): 130
Entry: 16000000, Memory (MB): 297.07, Time Elapsed (s): 139
Entry: 17000000, Memory (MB): 297.07, Time Elapsed (s): 148
Entry: 18000000, Memory (MB): 298.395, Time Elapsed (s): 156
Entry: 19000000, Memory (MB): 298.395, Time Elapsed (s): 165
Entry: 20000000, Memory (MB): 298.395, Time Elapsed (s): 174
Entry: 21000000, Memory (MB): 298.395, Time Elapsed (s): 182
Entry: 22000000, Memory (MB): 298.395, Time Elapsed (s): 191
Entry: 23000000, Memory (MB): 298.395, Time Elapsed (s): 200
Entry: 24000000, Memory (MB): 298.395, Time Elapsed (s): 209
Entry: 25000000, Memory (MB): 298.395, Time Elapsed (s): 217
Entry: 26000000, Memory (MB): 298.395, Time Elapsed (s): 226
Entry: 27000000, Memory (MB): 298.395, Time Elapsed (s): 235
Entry: 28000000, Memory (MB): 298.395, Time Elapsed (s): 244
Entry: 29000000, Memory (MB): 298.395, Time Elapsed (s): 252
Entry: 30000000, Memory (MB): 298.395, Time Elapsed (s): 261
Entry: 31000000, Memory (MB): 298.395, Time Elapsed (s): 270
Entry: 32000000, Memory (MB): 298.395, Time Elapsed (s): 279
Entry: 33000000, Memory (MB): 298.395, Time Elapsed (s): 287
Entry: 34000000, Memory (MB): 298.395, Time Elapsed (s): 296
Entry: 35000000, Memory (MB): 298.395, Time Elapsed (s): 305
Entry: 36000000, Memory (MB): 298.395, Time Elapsed (s): 313
Entry: 37000000, Memory (MB): 298.797, Time Elapsed (s): 322
Entry: 38000000, Memory (MB): 299.312, Time Elapsed (s): 331
Entry: 39000000, Memory (MB): 299.57, Time Elapsed (s): 340
Entry: 40000000, Memory (MB): 299.57, Time Elapsed (s): 348
Entry: 41000000, Memory (MB): 299.57, Time Elapsed (s): 357
Entry: 42000000, Memory (MB): 299.57, Time Elapsed (s): 366
Entry: 43000000, Memory (MB): 299.738, Time Elapsed (s): 374
Entry: 44000000, Memory (MB): 299.738, Time Elapsed (s): 383
Entry: 45000000, Memory (MB): 299.738, Time Elapsed (s): 392
Entry: 46000000, Memory (MB): 302.273, Time Elapsed (s): 400
Entry: 47000000, Memory (MB): 302.273, Time Elapsed (s): 409
Entry: 48000000, Memory (MB): 302.273, Time Elapsed (s): 418
Entry: 49000000, Memory (MB): 302.465, Time Elapsed (s): 427
Entry: 50000000, Memory (MB): 302.465, Time Elapsed (s): 435
Entry: 51000000, Memory (MB): 302.465, Time Elapsed (s): 444
Entry: 52000000, Memory (MB): 302.465, Time Elapsed (s): 453
Entry: 53000000, Memory (MB): 302.914, Time Elapsed (s): 461
Entry: 54000000, Memory (MB): 302.914, Time Elapsed (s): 470
Entry: 55000000, Memory (MB): 302.914, Time Elapsed (s): 479
Entry: 56000000, Memory (MB): 302.914, Time Elapsed (s): 488
Entry: 57000000, Memory (MB): 302.914, Time Elapsed (s): 496
Entry: 58000000, Memory (MB): 302.914, Time Elapsed (s): 505
Entry: 59000000, Memory (MB): 302.914, Time Elapsed (s): 514
Entry: 60000000, Memory (MB): 302.914, Time Elapsed (s): 522
Entry: 61000000, Memory (MB): 302.914, Time Elapsed (s): 531
Entry: 62000000, Memory (MB): 302.914, Time Elapsed (s): 540
Entry: 63000000, Memory (MB): 302.984, Time Elapsed (s): 549
Entry: 64000000, Memory (MB): 303.242, Time Elapsed (s): 557
Entry: 65000000, Memory (MB): 303.242, Time Elapsed (s): 566
Entry: 66000000, Memory (MB): 303.242, Time Elapsed (s): 574
Entry: 67000000, Memory (MB): 303.242, Time Elapsed (s): 583
Entry: 68000000, Memory (MB): 303.242, Time Elapsed (s): 592
Entry: 69000000, Memory (MB): 303.242, Time Elapsed (s): 601
Entry: 70000000, Memory (MB): 303.242, Time Elapsed (s): 609
Entry: 71000000, Memory (MB): 303.324, Time Elapsed (s): 618
Entry: 72000000, Memory (MB): 303.324, Time Elapsed (s): 777
Entry: 73000000, Memory (MB): 303.324, Time Elapsed (s): 826
Entry: 74000000, Memory (MB): 303.324, Time Elapsed (s): 925
Entry: 75000000, Memory (MB): 303.324, Time Elapsed (s): 995
Entry: 76000000, Memory (MB): 303.324, Time Elapsed (s): 1038
Entry: 77000000, Memory (MB): 303.324, Time Elapsed (s): 1090
Entry: 78000000, Memory (MB): 303.324, Time Elapsed (s): 1140
Entry: 79000000, Memory (MB): 303.324, Time Elapsed (s): 1223
Entry: 80000000, Memory (MB): 303.324, Time Elapsed (s): 1291
Entry: 81000000, Memory (MB): 303.438, Time Elapsed (s): 1355
Entry: 82000000, Memory (MB): 305.438, Time Elapsed (s): 1414
Entry: 83000000, Memory (MB): 305.438, Time Elapsed (s): 1493
Entry: 84000000, Memory (MB): 305.438, Time Elapsed (s): 1549
