Entry: 0, Memory (MB): 246.051, Time Elapsed (s): 0
Entry: 1000000, Memory (MB): 293.789, Time Elapsed (s): 8
Entry: 2000000, Memory (MB): 296.777, Time Elapsed (s): 17
Entry: 3000000, Memory (MB): 296.934, Time Elapsed (s): 26
Entry: 4000000, Memory (MB): 296.934, Time Elapsed (s): 34
Entry: 5000000, Memory (MB): 296.934, Time Elapsed (s): 43
Entry: 6000000, Memory (MB): 296.934, Time Elapsed (s): 52
Entry: 7000000, Memory (MB): 296.934, Time Elapsed (s): 61
Entry: 8000000, Memory (MB): 296.934, Time Elapsed (s): 69
Entry: 9000000, Memory (MB): 296.934, Time Elapsed (s): 78
Entry: 10000000, Memory (MB): 296.934, Time Elapsed (s): 87
Entry: 11000000, Memory (MB): 298.914, Time Elapsed (s): 95
Entry: 12000000, Memory (MB): 299.531, Time Elapsed (s): 104
Entry: 13000000, Memory (MB): 299.531, Time Elapsed (s): 113
Entry: 14000000, Memory (MB): 299.531, Time Elapsed (s): 122
Entry: 15000000, Memory (MB): 299.531, Time Elapsed (s): 131
Entry: 16000000, Memory (MB): 299.531, Time Elapsed (s): 140
Entry: 17000000, Memory (MB): 299.531, Time Elapsed (s): 149
Entry: 18000000, Memory (MB): 299.531, Time Elapsed (s): 158
Entry: 19000000, Memory (MB): 299.531, Time Elapsed (s): 166
Entry: 20000000, Memory (MB): 299.531, Time Elapsed (s): 175
Entry: 21000000, Memory (MB): 299.531, Time Elapsed (s): 184
Entry: 22000000, Memory (MB): 299.531, Time Elapsed (s): 193
Entry: 23000000, Memory (MB): 299.531, Time Elapsed (s): 202
Entry: 24000000, Memory (MB): 299.531, Time Elapsed (s): 211
Entry: 25000000, Memory (MB): 299.531, Time Elapsed (s): 220
Entry: 26000000, Memory (MB): 299.531, Time Elapsed (s): 228
Entry: 27000000, Memory (MB): 299.531, Time Elapsed (s): 237
Entry: 28000000, Memory (MB): 299.531, Time Elapsed (s): 246
Entry: 29000000, Memory (MB): 299.531, Time Elapsed (s): 255
Entry: 30000000, Memory (MB): 299.531, Time Elapsed (s): 264
Entry: 31000000, Memory (MB): 299.988, Time Elapsed (s): 272
Entry: 32000000, Memory (MB): 299.988, Time Elapsed (s): 281
Entry: 33000000, Memory (MB): 300.008, Time Elapsed (s): 290
Entry: 34000000, Memory (MB): 300.008, Time Elapsed (s): 299
Entry: 35000000, Memory (MB): 300.008, Time Elapsed (s): 308
Entry: 36000000, Memory (MB): 300.5, Time Elapsed (s): 317
Entry: 37000000, Memory (MB): 301.227, Time Elapsed (s): 326
Entry: 38000000, Memory (MB): 301.598, Time Elapsed (s): 335
Entry: 39000000, Memory (MB): 301.598, Time Elapsed (s): 343
Entry: 40000000, Memory (MB): 301.598, Time Elapsed (s): 352
Entry: 41000000, Memory (MB): 301.598, Time Elapsed (s): 361
Entry: 42000000, Memory (MB): 301.645, Time Elapsed (s): 370
Entry: 43000000, Memory (MB): 301.645, Time Elapsed (s): 378
Entry: 44000000, Memory (MB): 302.039, Time Elapsed (s): 387
Entry: 45000000, Memory (MB): 302.273, Time Elapsed (s): 396
Entry: 46000000, Memory (MB): 302.664, Time Elapsed (s): 405
Entry: 47000000, Memory (MB): 302.664, Time Elapsed (s): 414
Entry: 48000000, Memory (MB): 302.664, Time Elapsed (s): 422
Entry: 49000000, Memory (MB): 302.668, Time Elapsed (s): 431
Entry: 50000000, Memory (MB): 302.668, Time Elapsed (s): 440
Entry: 51000000, Memory (MB): 302.668, Time Elapsed (s): 449
Entry: 52000000, Memory (MB): 302.668, Time Elapsed (s): 457
Entry: 53000000, Memory (MB): 302.668, Time Elapsed (s): 466
Entry: 54000000, Memory (MB): 303.105, Time Elapsed (s): 475
Entry: 55000000, Memory (MB): 303.105, Time Elapsed (s): 484
Entry: 56000000, Memory (MB): 303.105, Time Elapsed (s): 493
Entry: 57000000, Memory (MB): 303.105, Time Elapsed (s): 501
Entry: 58000000, Memory (MB): 303.105, Time Elapsed (s): 510
Entry: 59000000, Memory (MB): 303.105, Time Elapsed (s): 519
Entry: 60000000, Memory (MB): 303.105, Time Elapsed (s): 528
Entry: 61000000, Memory (MB): 303.238, Time Elapsed (s): 536
Entry: 62000000, Memory (MB): 303.328, Time Elapsed (s): 545
Entry: 63000000, Memory (MB): 303.328, Time Elapsed (s): 554
Entry: 64000000, Memory (MB): 303.328, Time Elapsed (s): 562
Entry: 65000000, Memory (MB): 304.289, Time Elapsed (s): 571
Entry: 66000000, Memory (MB): 304.492, Time Elapsed (s): 580
Entry: 67000000, Memory (MB): 304.492, Time Elapsed (s): 589
Entry: 68000000, Memory (MB): 304.492, Time Elapsed (s): 597
Entry: 69000000, Memory (MB): 304.492, Time Elapsed (s): 606
Entry: 70000000, Memory (MB): 304.492, Time Elapsed (s): 615
Entry: 71000000, Memory (MB): 304.492, Time Elapsed (s): 624
Entry: 72000000, Memory (MB): 304.492, Time Elapsed (s): 632
Entry: 73000000, Memory (MB): 304.492, Time Elapsed (s): 641
Entry: 74000000, Memory (MB): 304.492, Time Elapsed (s): 650
Entry: 75000000, Memory (MB): 304.492, Time Elapsed (s): 659
Entry: 76000000, Memory (MB): 304.492, Time Elapsed (s): 667
Entry: 77000000, Memory (MB): 304.492, Time Elapsed (s): 676
Entry: 78000000, Memory (MB): 304.492, Time Elapsed (s): 685
Entry: 79000000, Memory (MB): 304.648, Time Elapsed (s): 694
Entry: 80000000, Memory (MB): 304.648, Time Elapsed (s): 703
Entry: 81000000, Memory (MB): 304.648, Time Elapsed (s): 711
Entry: 82000000, Memory (MB): 304.648, Time Elapsed (s): 720
Entry: 83000000, Memory (MB): 304.648, Time Elapsed (s): 729
Entry: 84000000, Memory (MB): 304.648, Time Elapsed (s): 738
Entry: 85000000, Memory (MB): 304.648, Time Elapsed (s): 747
Entry: 86000000, Memory (MB): 304.648, Time Elapsed (s): 756
Entry: 87000000, Memory (MB): 304.648, Time Elapsed (s): 765
Entry: 88000000, Memory (MB): 304.648, Time Elapsed (s): 773
Entry: 89000000, Memory (MB): 304.648, Time Elapsed (s): 782
Entry: 90000000, Memory (MB): 304.695, Time Elapsed (s): 791
Entry: 91000000, Memory (MB): 304.695, Time Elapsed (s): 800
Entry: 92000000, Memory (MB): 304.695, Time Elapsed (s): 808
Entry: 93000000, Memory (MB): 304.695, Time Elapsed (s): 817
